TP9,AF7,AF8,TP10,unix_sec,unix_ms,rel_sec,rel_ms
810.696,892.0879,800.6227,792.1612,1758146960.702,1758146960702,0.004999876022338867,5
913.8461,959.3773,806.6667,884.43225,1758146960.702,1758146960702,0.004999876022338867,5
813.91943,759.92676,805.4579,827.619,1758146960.703,1758146960703,0.006000041961669922,6
705.5311,737.3626,801.8315,732.52747,1758146960.704,1758146960704,0.006999969482421875,7
785.7143,926.337,801.8315,774.0293,1758146960.704,1758146960704,0.006999969482421875,7
908.60803,965.42126,806.26373,871.53845,1758146960.704,1758146960704,0.006999969482421875,7
847.3626,762.74725,809.4872,856.2271,1758146960.705,1758146960705,0.007999897003173828,8
710.3663,599.15753,802.23444,754.2857,1758146960.705,1758146960705,0.007999897003173828,8
739.3773,813.1135,796.1905,746.2271,1758146960.706,1758146960706,0.009000062942504883,9
879.59705,883.6264,801.4286,845.7509,1758146960.707,1758146960707,0.009999990463256836,10
881.2088,801.8315,807.47253,876.3736,1758146960.707,1758146960707,0.009999990463256836,10
743.4066,701.9048,804.65204,777.6557,1758146960.707,1758146960707,0.009999990463256836,10
711.1722,744.61536,799.011,730.9158,1758146960.739,1758146960739,0.04200005531311035,42
836.8865,911.4286,804.2491,825.2015,1758146960.739,1758146960739,0.04200005531311035,42
896.1172,892.8938,811.0989,888.0586,1758146960.74,1758146960740,0.042999982833862305,43
774.83514,674.90845,808.68134,803.44324,1758146960.74,1758146960740,0.042999982833862305,43
691.4286,724.4689,803.0403,722.4542,1758146960.74,1758146960740,0.042999982833862305,43
794.17584,958.97437,802.23444,786.9231,1758146960.741,1758146960741,0.04399991035461426,44
899.34064,902.5641,808.2784,877.98535,1758146960.741,1758146960741,0.04399991035461426,44
802.23444,737.76556,804.65204,825.6044,1758146960.741,1758146960741,0.04399991035461426,44
680.54944,672.0879,793.7729,734.1392,1758146960.741,1758146960741,0.04399991035461426,44
747.8388,774.83514,792.96704,760.7326,1758146960.742,1758146960742,0.04500007629394531,45
886.04395,915.4579,799.011,857.03296,1758146960.742,1758146960742,0.04500007629394531,45
851.39197,813.5165,803.0403,853.00366,1758146960.742,1758146960742,0.04500007629394531,45
712.381,690.6227,801.4286,750.65936,1758146960.766,1758146960766,0.0690000057220459,69
725.6777,757.1062,798.20514,736.55676,1758146960.767,1758146960767,0.06999993324279785,70
869.12085,911.4286,803.44324,837.6923,1758146960.767,1758146960767,0.06999993324279785,70
885.64105,830.84247,809.4872,879.19415,1758146960.767,1758146960767,0.06999993324279785,70
753.47986,726.08057,806.26373,786.1172,1758146960.768,1758146960768,0.0709998607635498,71
709.5604,829.2308,799.011,728.0952,1758146960.768,1758146960768,0.0709998607635498,71
827.619,883.22345,796.5934,805.8608,1758146960.768,1758146960768,0.0709998607635498,71
904.17584,878.7912,801.8315,881.6117,1758146960.769,1758146960769,0.07200002670288086,72
787.326,771.6117,802.23444,806.6667,1758146960.769,1758146960769,0.07200002670288086,72
687.3993,643.47986,793.7729,717.619,1758146960.769,1758146960769,0.07200002670288086,72
784.90845,875.56775,798.20514,781.28204,1758146960.771,1758146960771,0.07399988174438477,74
900.14655,956.9597,804.2491,874.7619,1758146960.771,1758146960771,0.07399988174438477,74
816.337,724.4689,802.6374,831.6484,1758146960.792,1758146960792,0.09500002861022949,95
694.2491,687.8022,799.41394,738.97437,1758146960.793,1758146960793,0.09599995613098145,96
751.06226,827.619,799.81683,755.89746,1758146960.793,1758146960793,0.09599995613098145,96
887.6557,887.25275,808.2784,853.8095,1758146960.794,1758146960794,0.0969998836517334,97
859.45056,805.8608,813.1135,862.674,1758146960.794,1758146960794,0.0969998836517334,97
721.6484,759.12085,808.2784,766.77655,1758146960.794,1758146960794,0.0969998836517334,97
718.8278,780.07324,804.2491,737.76556,1758146960.795,1758146960795,0.09800004959106445,98
850.18317,862.674,808.2784,827.619,1758146960.795,1758146960795,0.09800004959106445,98
884.0293,850.58606,811.50183,878.7912,1758146960.795,1758146960795,0.09800004959106445,98
750.2564,725.6777,805.4579,790.9524,1758146960.796,1758146960796,0.0989999771118164,99
695.4579,708.7546,799.41394,726.4835,1758146960.796,1758146960796,0.0989999771118164,99
