unix_sec,unix_ms,rel_sec,rel_ms,Delta_TP9,Delta_TP10,Delta_AF7,Delta_AF8,Theta_TP9,Theta_TP10,Theta_AF7,Theta_AF8,Alpha_TP9,Alpha_TP10,Alpha_AF7,Alpha_AF8,Beta_TP9,Beta_TP10,Beta_AF7,Beta_AF8,Gamma_TP9,Gamma_TP10,Gamma_AF7,Gamma_AF8
1758146960.702,1758146960702,0.004999876022338867,5,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.702,1758146960702,0.004999876022338867,5,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.703,1758146960703,0.006000041961669922,6,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.704,1758146960704,0.006999969482421875,7,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.704,1758146960704,0.006999969482421875,7,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.704,1758146960704,0.006999969482421875,7,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.705,1758146960705,0.007999897003173828,8,0.38483584,1.2402916,0.0,0.1922973,0.250099,0.62634635,0.0,-0.04387432,-0.012604452,0.2519302,0.0,0.10748723,0.47967836,0.17616232,0.0,-0.047416463,-0.09696741,-0.2134887,0.0,-0.39526436
1758146960.705,1758146960705,0.007999897003173828,8,0.38483584,1.2402916,0.0,0.16827904,0.250099,0.62634635,0.0,-0.05920861,-0.012604452,0.2519302,0.0,0.10349712,0.47967836,0.17616232,0.0,-0.042965796,-0.09696741,-0.2134887,0.0,-0.4006258
1758146960.706,1758146960706,0.009000062942504883,9,0.38483584,1.2402916,0.0,0.16827904,0.250099,0.62634635,0.0,-0.05920861,-0.012604452,0.2519302,0.0,0.10349712,0.47967836,0.17616232,0.0,-0.042965796,-0.09696741,-0.2134887,0.0,-0.4006258
1758146960.707,1758146960707,0.009999990463256836,10,0.38483584,1.2402916,0.0,0.16827904,0.250099,0.62634635,0.0,-0.05920861,-0.012604452,0.2519302,0.0,0.10349712,0.47967836,0.17616232,0.0,-0.042965796,-0.09696741,-0.2134887,0.0,-0.4006258
