frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
267,0,-192,Pedestrian,22.12815,11.29207,0,1,0,0,0,0
267,0,-394,PedestrianHead,22.12815,11.28059,-2.427792E-07,0.9971079,0,0,0,0
268,0,-192,Pedestrian,22.12815,11.29247,-0.0004706179,0.9999999,0.01413281,70.75732,35.37866,1
268,0,-394,PedestrianHead,22.11921,11.31138,0.08632089,0.9889197,0.01413281,70.75732,35.37866,1
269,0.01999998,-192,Pedestrian,22.12815,11.29325,-0.001410061,0.999999,0.01413281,70.75732,56.60585,1
269,0.01999998,-394,PedestrianHead,22.12047,11.31172,0.0860965,0.9889858,0.01413281,70.75732,56.60585,1
270,0.03919816,-192,Pedestrian,22.12814,11.29514,-0.003674927,0.9999933,0.02,50,60.37866,1
270,0.03919816,-394,PedestrianHead,22.1223,11.31292,0.08431445,0.9891865,0.02,50,60.37866,1
271,0.09180641,-192,Pedestrian,22.12812,11.29768,-0.006706045,0.9999775,0.01919807,52.08856,55.19574,1
271,0.09180641,-394,PedestrianHead,22.1241,11.3147,0.08094148,0.9894835,0.01919807,52.08856,55.19574,1
272,0.1328835,-192,Pedestrian,22.12786,11.31017,-0.02141085,0.9997708,0.05260818,19.00845,35.13079,1
272,0.1328835,-394,PedestrianHead,22.12863,11.32537,0.06658994,0.9906251,0.05260818,19.00845,35.13079,1
273,0.1730082,-192,Pedestrian,22.12737,11.32329,-0.03672632,0.9993253,0.0410773,24.34435,28.29242,1
273,0.1730082,-394,PedestrianHead,22.13206,11.33693,0.04675974,0.9915574,0.0410773,24.34435,28.29242,1
274,0.2109199,-192,Pedestrian,22.12649,11.3393,-0.05528706,0.9984705,0.04012459,24.92237,23.56618,1
274,0.2109199,-394,PedestrianHead,22.13649,11.35292,0.01127686,0.9918789,0.04012459,24.92237,23.56618,1
275,0.2396426,-192,Pedestrian,22.12512,11.35728,-0.07597987,0.9971094,0.03791172,26.37707,25.53412,1
275,0.2396426,-394,PedestrianHead,22.13892,11.37168,-0.02763725,0.9906815,0.03791172,26.37707,25.53412,1
276,0.2659862,-192,Pedestrian,22.12369,11.37252,-0.09342989,0.9956259,0.02872266,34.81572,30.30545,1
