unix_ms,rel_timestamp,frame,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1758829560428,0,1233,Activation,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1758829560689,0,1233,Eye Hit,-33.41674,2.143253,13.8,740.7291,769.3708,35.90859,-0.9545391,0.01582677,0.2976654,35.95962,NorthBuildings_NoColliders,-29.23483,3.289527,11.3082,720.0001,791.9999,31.28864,-0.9633831,0.05482503,0.2624636,0.9081259,1.574128,3.096063,31.28865,NW_Tree_30,0.0359731,-0.03927052,0.9985809,3.052745
1758829560747,0,1234,Eye Hit,-34.49307,2.94432,13.8,735.2198,780.5637,36.98783,-0.9565368,0.0370228,0.2892521,37.00807,NorthBuildings_NoColliders,-29.24335,3.347675,11.34285,720.0001,792,31.30784,-0.9630132,0.05664708,0.2634327,0.9065123,1.574178,3.095335,31.30785,NW_Tree_30,0.02643546,-0.01986373,0.9994532,1.894962
1758829560759,0.01999855,1235,Eye Hit,-34.501,3.062418,13.8,735.1689,782.2018,37.00208,-0.9564355,0.04019957,0.2891627,37.02029,NorthBuildings_NoColliders,-29.24445,3.357852,11.34435,720.0001,791.9999,31.30994,-0.9629841,0.05696707,0.26347,0.9065263,1.574218,3.095114,31.30995,NW_Tree_30,0.02634853,-0.01701944,0.9995079,1.797439
1758829560784,0.04754829,1236,Eye Hit,-34.84302,2.976799,13.8,733.262,780.4642,37.32676,-0.957297,0.03755693,0.2866567,37.34417,NorthBuildings_NoColliders,-29.24762,3.371379,11.36617,720,791.9999,31.31945,-0.96279,0.05738013,0.2640889,0.906436,1.574266,3.095045,31.31945,NW_Tree_30,0.02303657,-0.0200383,0.9995339,1.749659
1758829560806,0.06986618,1237,Eye Hit,-34.81396,3.089113,13.8,733.2601,782.3948,37.30556,-0.9571186,0.04058823,0.2868387,37.32066,NorthBuildings_NoColliders,-29.24734,3.361253,11.37408,720.0001,791.9999,31.32061,-0.9627423,0.05705259,0.2643337,0.9063382,1.574333,3.094987,31.32062,NW_Tree_30,0.02303478,-0.01668577,0.9995955,1.629789
1758829560825,0.0885334,1238,Eye Hit,-34.81422,3.089113,13.8,733.0887,782.7665,37.30644,-0.957119,0.04058811,0.2868378,37.32089,NorthBuildings_NoColliders,-29.24615,3.340611,11.38317,720.0001,791.9999,31.32069,-0.9627014,0.05639354,0.2646239,0.9063206,1.574328,3.094957,31.3207,NW_Tree_30,0.02273741,-0.0160403,0.9996128,1.594464
1758829560839,0.1025391,1239,Eye Hit,-34.72726,2.890967,13.8,733.3419,779.981,37.21201,-0.9571161,0.03536554,0.287538,37.23013,NorthBuildings_NoColliders,-29.24547,3.328174,11.38896,720.0001,791.9999,31.32086,-0.9626738,0.05599694,0.2648085,0.906301,1.574304,3.094922,31.32086,NW_Tree_30,0.02317497,-0.02087719,0.9995134,1.787394
1758829560851,0.1149979,1240,Eye Hit,-34.72751,2.890954,13.8,733.4061,780.1564,37.21239,-0.9571162,0.03536543,0.2875375,37.23036,NorthBuildings_NoColliders,-29.24419,3.318386,11.38497,720.0001,791.9999,31.31801,-0.9627194,0.05569004,0.2647068,0.9062698,1.574286,3.094872,31.31802,NW_Tree_30,0.02328661,-0.02057255,0.999517,1.780592
1758829560865,0.12887,1241,Eye Hit,-34.67487,3.092181,13.8,733.8411,783.3943,37.17271,-0.9567995,0.0408179,0.2878692,37.18763,NorthBuildings_NoColliders,-29.24274,3.312388,11.37475,720.0001,791.9999,31.31355,-0.9628091,0.05550728,0.2644199,0.9062312,1.57426,3.094826,31.31357,NW_Tree_30,0.02404422,-0.01494931,0.9995993,1.622447
1758829560880,0.1433582,1242,Eye Hit,-34.67505,3.092148,13.8,733.9691,783.4469,37.17273,-0.9567995,0.04081779,0.2878693,37.18779,NorthBuildings_NoColliders,-29.2418,3.30926,11.36727,720.0001,791.9999,31.31049,-0.9628725,0.05541393,0.2642082,0.9062111,1.574225,3.094779,31.3105,NW_Tree_30,0.02426627,-0.01485802,0.9995952,1.630509
1758829560895,0.1585617,1243,Eye Hit,-34.67525,3.09208,13.8,734.1899,783.4219,37.17259,-0.9567994,0.04081779,0.2878696,37.18802,NorthBuildings_NoColliders,-29.2408,3.310317,11.35455,720.0001,791.9999,31.30627,-0.962971,0.05545764,0.26384,0.9062257,1.574147,3.094699,31.30627,NW_Tree_30,0.0246498,-0.0149014,0.9995852,1.650549
1758829560910,0.1725559,1244,Eye Hit,-34.39107,3.043769,13.8,735.6202,782.8762,36.89605,-0.9561964,0.03981344,0.2900058,36.91428,NorthBuildings_NoColliders,-29.23978,3.307801,11.34553,720.0001,791.9999,31.30279,-0.9630455,0.05538538,0.2635829,0.9062319,1.574085,3.094643,31.3028,NW_Tree_30,0.0271323,-0.01584815,0.9995063,1.800484
1758829560924,0.1875858,1245,Eye Hit,-34.39117,3.043767,13.8,735.7648,782.95,36.89596,-0.9561964,0.03981344,0.290006,36.91436,NorthBuildings_NoColliders,-29.23867,3.303647,11.33717,720.0001,791.9999,31.29927,-0.9631175,0.05525908,0.2633464,0.9062068,1.57408,3.09461,31.29928,NW_Tree_30,0.02738327,-0.01571986,0.9995015,1.809375
1758829560938,0.2016182,1246,Eye Hit,-34.83584,3.081544,13.8,733.8378,783.3445,37.32626,-0.9571722,0.04037023,0.286691,37.34128,NorthBuildings_NoColliders,-29.23805,3.300453,11.3336,720.0001,792,31.29755,-0.9631501,0.0551604,0.2632474,0.9061894,1.574068,3.09459,31.29756,NW_Tree_30,0.02403843,-0.01503597,0.999598,1.624738
1758829560952,0.2156811,1247,Eye Hit,-34.83591,3.081543,13.8,733.8645,783.5474,37.32649,-0.9571722,0.04037035,0.286691,37.34135,NorthBuildings_NoColliders,-29.23684,3.289269,11.33183,720.0001,791.9999,31.2953,-0.9631804,0.05480728,0.2632107,0.9061799,1.574061,3.094571,31.29531,NW_Tree_30,0.0240849,-0.01468357,0.9996021,1.616284
1758829560966,0.2301445,1248,Eye Hit,-34.79789,3.034523,13.8,733.9773,782.8751,37.28738,-0.9571345,0.03915099,0.2869856,37.30307,NorthBuildings_NoColliders,-29.2369,3.287444,11.33453,720.0001,791.9999,31.29596,-0.9631615,0.05474745,0.2632918,0.906163,1.574071,3.094555,31.29596,NW_Tree_30,0.02428022,-0.0158512,0.9995796,1.661657
1758829560980,0.2441998,1249,Eye Hit,-34.79791,3.034573,13.8,733.9756,782.7901,37.28727,-0.9571345,0.03915099,0.2869857,37.30304,NorthBuildings_NoColliders,-29.23733,3.291981,11.33458,720.0001,791.9999,31.29659,-0.9631544,0.05488973,0.263288,0.9061139,1.574121,3.094562,31.29659,NW_Tree_30,0.02427742,-0.01599874,0.9995772,1.666126
1758829560995,0.258585,1250,Eye Hit,-34.79806,3.034636,13.8,733.9603,782.7204,37.2873,-0.9571345,0.039151,0.2869855,37.30312,NorthBuildings_NoColliders,-29.23779,3.295961,11.33554,720,792,31.29744,-0.9631408,0.05501346,0.263312,0.9060454,1.574182,3.094547,31.29745,NW_Tree_30,0.02425066,-0.01611978,0.999576,1.668591
1758829561009,0.2727032,1251,Eye Hit,-34.82198,3.05846,13.8,733.7767,783.122,37.31178,-0.957164,0.03976324,0.2868032,37.32692,NorthBuildings_NoColliders,-29.238,3.293754,11.34033,720.0001,791.9999,31.29874,-0.963106,0.05493943,0.263455,0.9060023,1.574221,3.09452,31.29874,NW_Tree_30,0.02393225,-0.01542233,0.9995948,1.631349
1758829561024,0.2869396,1252,Eye Hit,-34.82201,3.05846,13.8,733.7876,783.1012,37.31178,-0.957164,0.03976325,0.286803,37.32695,NorthBuildings_NoColliders,-29.23807,3.295021,11.33981,720.0001,792,31.29874,-0.9631082,0.05497991,0.2634383,0.9059982,1.57422,3.094519,31.29875,NW_Tree_30,0.02395108,-0.01545857,0.9995937,1.633387
1758829561037,0.3010616,1253,Eye Hit,-34.79737,3.051551,13.8,733.9734,783.0926,37.28763,-0.9571157,0.03960368,0.2869861,37.30309,NorthBuildings_NoColliders,-29.23722,3.290209,11.33522,720.0001,791.9999,31.29645,-0.9631517,0.05483045,0.2633107,0.9060063,1.574211,3.09453,31.29646,NW_Tree_30,0.02427369,-0.01547335,0.9995856,1.649482
1758829561051,0.3148842,1254,Eye Hit,-34.79736,3.05155,13.8,734.0082,783.0947,37.28757,-0.9571158,0.03960367,0.2869859,37.30309,NorthBuildings_NoColliders,-29.23705,3.290166,11.33331,720.0001,791.9999,31.29578,-0.9631671,0.05483031,0.2632548,0.9060135,1.574211,3.094539,31.2958,NW_Tree_30,0.0243341,-0.01546965,0.9995843,1.652208
1758829561066,0.3291149,1255,Eye Hit,-34.7805,3.066124,13.8,734.1398,783.3452,37.27206,-0.9570629,0.0400108,0.2871058,37.28753,NorthBuildings_NoColliders,-29.2367,3.289293,11.3302,720.0001,791.9999,31.29458,-0.9631928,0.05480418,0.2631658,0.906013,1.574221,3.094534,31.29458,NW_Tree_30,0.02456278,-0.0150346,0.9995854,1.650194
1758829561079,0.3424969,1256,Eye Hit,-34.78049,3.066122,13.8,734.2231,783.3085,37.27192,-0.9570629,0.04001069,0.2871059,37.28755,NorthBuildings_NoColliders,-29.2365,3.291387,11.32557,720.0001,792,31.29332,-0.9632263,0.05487326,0.2630289,0.9060411,1.574221,3.094525,31.29332,NW_Tree_30,0.02470729,-0.01509831,0.9995808,1.6593
1758829561093,0.3566608,1257,Eye Hit,-34.78059,3.066105,13.8,734.2742,783.28,37.27199,-0.957063,0.04001068,0.2871055,37.28775,NorthBuildings_NoColliders,-29.2364,3.29298,11.3227,720.0001,791.9999,31.29265,-0.9632464,0.05492617,0.2629442,0.906126,1.574197,3.09448,31.29266,NW_Tree_30,0.02479604,-0.01514769,0.9995778,1.664951
1758829561106,0.3700237,1258,Eye Hit,-34.80107,3.065549,13.8,734.2562,783.2062,37.29161,-0.9571096,0.0399755,0.2869553,37.30742,NorthBuildings_NoColliders,-29.23632,3.295828,11.31855,720.0001,792,31.29172,-0.9632748,0.05501973,0.2628205,0.9062114,1.574167,3.094439,31.29173,NW_Tree_30,0.02476481,-0.01527587,0.9995767,1.667301
1758829561120,0.3840618,1259,Eye Hit,-34.80099,3.065572,13.8,734.2641,783.1968,37.29155,-0.9571093,0.03997551,0.2869558,37.30736,NorthBuildings_NoColliders,-29.23634,3.296415,11.31816,720.0001,791.9999,31.2917,-0.963277,0.0550378,0.2628086,0.9062309,1.574191,3.094436,31.29171,NW_Tree_30,0.02477843,-0.01529211,0.999576,1.668474
1758829561134,0.3978748,1260,Eye Hit,-34.42545,3.054765,13.8,735.9444,783.2101,36.92919,-0.9562633,0.04007186,0.2897494,36.94767,NorthBuildings_NoColliders,-29.2365,3.297972,11.31824,720.0001,792,31.29198,-0.9632741,0.05508667,0.2628089,0.9062543,1.574203,3.094431,31.29198,NW_Tree_30,0.02769518,-0.01526799,0.9994999,1.812186
