unix_ms,rel_timestamp,frame,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1759611038259,0,1240,Activation,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1759611038514,0,1240,Eye Hit,-15.97376,-7.277782E-18,5.180269,720.2785,751.36,14.83421,-0.8667827,-0.1081001,0.4868286,14.87116,RoadWest,-31.01349,0.387908,13.8,720,792,32.14161,-0.8689609,-0.03794665,0.493424,-3.083694,1.607575,-2.05944,32.14161,NorthBuildings_NoColliders,0.0004827082,-0.07045101,0.9975152,4.04002
1759611038574,0,1241,Eye Hit,-16.80399,-1.95464E-17,5.48416,715.0455,754.3428,15.70934,-0.871729,-0.1021132,0.47923,15.74353,RoadWest,-31.04424,0.3942041,13.8,720,792,32.17197,-0.8692144,-0.03771663,0.4929948,-3.079901,1.607623,-2.060612,32.17197,NorthBuildings_NoColliders,-0.008591533,-0.06530072,0.9978287,3.776365
1759611038584,0.02000046,1242,Eye Hit,-31.15481,0.07120991,13.8,719.6075,786.7318,32.28057,-0.8696806,-0.04759615,0.4913148,32.28193,NorthBuildings_NoColliders,-31.06794,0.3675909,13.8,720,792,32.19363,-0.8693677,-0.03852049,0.4926623,-3.079837,1.607705,-2.060593,32.19364,NorthBuildings_NoColliders,-0.0006820261,-0.009155024,0.9999579,0.5256317
1759611038617,0.05273247,1243,Eye Hit,-31.17046,0.05511141,13.8,719.8124,787.8504,32.29551,-0.8697776,-0.04806396,0.4910975,32.29635,NorthBuildings_NoColliders,-31.11572,0.288825,13.8,720,792,32.23835,-0.8696446,-0.04090088,0.491981,-3.079816,1.607402,-2.060657,32.23835,NorthBuildings_NoColliders,-0.000325948,-0.007211182,0.999974,0.4135417
1759611038648,0.08366585,1244,Eye Hit,-30.86147,0.05416584,13.8,722.3921,787.0109,32.02644,-0.8674186,-0.04849996,0.4952098,32.02792,NorthBuildings_NoColliders,-31.09113,0.3328815,13.8,720,792,32.2151,-0.8695076,-0.03956645,0.4923324,-3.07986,1.607519,-2.060538,32.2151,NorthBuildings_NoColliders,0.004156947,-0.008669931,0.9999539,0.5510744
1759611038672,0.106226,1245,Eye Hit,-29.77967,-1.217825E-17,13.29846,724.2697,784.8691,30.84093,-0.8656358,-0.05211702,0.4979542,30.84414,NorthSidewalk,-31.0725,0.3439889,13.8,720,792,32.19844,-0.8693784,-0.03924153,0.4925864,-3.079871,1.607505,-2.060513,32.19844,NorthBuildings_NoColliders,0.007419467,-0.01239112,0.9998958,0.8275619
1759611038688,0.1233368,1246,Eye Hit,-29.77997,-1.218228E-17,13.29864,723.9709,785.0984,30.84154,-0.8656362,-0.05211691,0.4979537,30.8445,NorthSidewalk,-31.04005,0.3312435,13.8,720,792,32.17074,-0.8691188,-0.03967198,0.4930099,-3.079861,1.60752,-2.060491,32.17074,NorthBuildings_NoColliders,0.006900102,-0.01199276,0.9999044,0.7927822
1759611038703,0.1381855,1247,Eye Hit,-29.77984,-1.21823E-17,13.29864,723.917,785.2224,30.84151,-0.8656361,-0.05211702,0.4979539,30.84437,NorthSidewalk,-31.0347,0.3243208,13.8,719.9999,792,32.16634,-0.8690715,-0.0398925,0.4930754,-3.079851,1.607517,-2.060433,32.16634,NorthBuildings_NoColliders,0.006806284,-0.01177735,0.9999074,0.7793398
1759611038717,0.1528111,1248,Eye Hit,-28.45912,7.370597E-18,12.41806,721.5795,783.5257,29.25962,-0.8672848,-0.05493282,0.4947722,29.26288,NorthSidewalk,-30.98988,0.3203492,13.8,720,792,32.12754,-0.8687261,-0.04006355,0.49367,-3.079849,1.607493,-2.060405,32.12754,NorthBuildings_NoColliders,0.002745032,-0.01472546,0.9998879,0.857978
1759611038735,0.1692314,1249,Eye Hit,-28.45864,7.375719E-18,12.41783,721.4819,783.5792,29.25909,-0.8672847,-0.05493281,0.4947723,29.26232,NorthSidewalk,-30.97943,0.317297,13.8,720,792,32.11855,-0.8686433,-0.04016884,0.4938069,-3.079872,1.607462,-2.06036,32.11855,NorthBuildings_NoColliders,0.002574891,-0.01463252,0.9998897,0.8513383
1759611038747,0.1835899,1250,Eye Hit,-28.16912,1.130358E-17,12.24093,721.2391,783.4124,28.92041,-0.867429,-0.05557415,0.4944476,28.9237,NorthSidewalk,-30.97446,0.3050575,13.8,720,792,32.1147,-0.8685925,-0.04055317,0.4938649,-3.079872,1.60741,-2.060323,32.1147,NorthBuildings_NoColliders,0.00215292,-0.01492231,0.9998864,0.8636609
1759611038762,0.1973114,1251,Eye Hit,-28.16803,1.131713E-17,12.24032,721.3069,783.4911,28.91922,-0.867429,-0.05557417,0.4944476,28.92244,NorthSidewalk,-30.98318,0.3005486,13.8,720,792,32.12247,-0.8686546,-0.04068157,0.4937451,-3.079848,1.607341,-2.060312,32.12247,NorthBuildings_NoColliders,0.002271205,-0.01478561,0.9998882,0.8570652
1759611038777,0.2119408,1252,Eye Hit,-28.19807,1.109584E-17,12.25029,721.2062,783.7414,28.95044,-0.8675379,-0.05551287,0.4942634,28.95348,NorthSidewalk,-30.98792,0.2879505,13.8,720,792,32.12714,-0.8686767,-0.04106621,0.4936746,-3.079821,1.607291,-2.060357,32.12714,NorthBuildings_NoColliders,0.002096087,-0.01435078,0.999895,0.8308656
1759611038790,0.2263126,1253,Eye Hit,-28.19815,1.109555E-17,12.2503,721.352,783.8132,28.95054,-0.8675379,-0.05551288,0.4942635,28.95355,NorthSidewalk,-31.00485,0.283927,13.8,720,792,32.14201,-0.8688008,-0.04117253,0.4934471,-3.079845,1.607295,-2.060384,32.14201,NorthBuildings_NoColliders,0.002349466,-0.0142259,0.999896,0.826142
1759611038804,0.2409592,1254,Eye Hit,-28.88883,3.595322E-18,12.58808,720.663,784.4978,29.71721,-0.8684104,-0.05408219,0.4928879,29.71978,NorthSidewalk,-31.03852,0.2879362,13.8,720,792,32.17109,-0.8690607,-0.04101118,0.4930028,-3.079883,1.607311,-2.06044,32.1711,NorthBuildings_NoColliders,0.001151651,-0.01303664,0.9999145,0.749649
1759611038819,0.2551174,1255,Eye Hit,-28.88935,3.590971E-18,12.58828,721.2272,784.4282,29.71767,-0.8684106,-0.05408219,0.4928877,29.7203,NorthSidewalk,-31.10186,0.2918482,13.8,719.9999,792,32.22599,-0.8695446,-0.04082079,0.4921646,-3.079921,1.607339,-2.060491,32.22599,NorthBuildings_NoColliders,0.002132684,-0.0131574,0.9999113,0.7636142
1759611038834,0.2704887,1256,Eye Hit,-28.88974,3.587597E-18,12.58843,721.5839,784.3072,29.71793,-0.8684106,-0.05408219,0.4928875,29.72069,NorthSidewalk,-31.14144,0.2986717,13.8,720,792,32.26011,-0.8698503,-0.04056676,0.4916451,-3.079966,1.60736,-2.060529,32.26012,NorthBuildings_NoColliders,0.002752572,-0.01336779,0.999907,0.7820969
