frame,timestamp,id,Label,pos_x,pos_y,for_x,for_y,deltaTime,frameRateRaw,frameRateSmooth,totalActiveAgents
253,0,-192,Pedestrian,-19.28347,10.58757,0,1,0,0,0,0
253,0,-394,PedestrianHead,-19.28347,10.57609,-2.427792E-07,0.9971079,0,0,0,0
254,0,-192,Pedestrian,-19.28347,10.58799,0.0004998271,0.9999999,0.01456479,68.65872,34.32936,1
254,0,-394,PedestrianHead,-19.29235,10.6069,0.08730301,0.988835,0.01456479,68.65872,34.32936,1
255,0.01999998,-192,Pedestrian,-19.28347,10.58881,0.001497519,0.9999989,0.01456479,68.65872,54.92698,1
255,0.01999998,-394,PedestrianHead,-19.29102,10.60728,0.0890139,0.9887302,0.01456479,68.65872,54.92698,1
256,0.07174087,-192,Pedestrian,-19.28346,10.59072,0.003802781,0.9999928,0.02,50,59.32936,1
256,0.07174087,-394,PedestrianHead,-19.289,10.60852,0.09179206,0.9885204,0.02,50,59.32936,1
257,0.1190798,-192,Pedestrian,-19.2833,10.60098,0.01599065,0.9998721,0.05174084,19.32709,38.39529,1
257,0.1190798,-394,PedestrianHead,-19.28357,10.61706,0.1052055,0.9872947,0.05174084,19.32709,38.39529,1
258,0.1591396,-192,Pedestrian,-19.28285,10.61483,0.03226793,0.9994792,0.04733912,21.12418,26.36022,1
258,0.1591396,-394,PedestrianHead,-19.27778,10.62873,0.1197118,0.9855351,0.04733912,21.12418,26.36022,1
259,0.1825552,-192,Pedestrian,-19.28211,10.62974,0.04965001,0.9987667,0.04005969,24.96275,22.68405,1
259,0.1825552,-394,PedestrianHead,-19.27565,10.64243,0.1280493,0.9838199,0.04005969,24.96275,22.68405,1
260,0.2059131,-192,Pedestrian,-19.28151,10.63955,0.06102082,0.9981365,0.02341552,42.70671,33.06702,1
260,0.2059131,-394,PedestrianHead,-19.27618,10.65205,0.1297339,0.9827808,0.02341552,42.70671,33.06702,1
261,0.2266357,-192,Pedestrian,-19.28071,10.65041,0.07355624,0.9972911,0.02335802,42.81184,39.21048,1
261,0.2266357,-394,PedestrianHead,-19.27566,10.66293,0.1381903,0.9810042,0.02335802,42.81184,39.21048,1
262,0.2442191,-192,Pedestrian,-19.27981,10.6609,0.08560362,0.9963292,0.0207225,48.25672,45.51326,1
262,0.2442191,-394,PedestrianHead,-19.27415,10.67319,0.1484351,0.9790168,0.0207225,48.25672,45.51326,1
263,0.2676897,-192,Pedestrian,-19.27889,10.6704,0.09648439,0.9953345,0.01758339,56.87186,51.47532,1
263,0.2676897,-394,PedestrianHead,-19.27312,10.68272,0.1580564,0.9770432,0.01758339,56.87186,51.47532,1
264,0.3108582,-192,Pedestrian,-19.27733,10.68415,0.1121708,0.9936889,0.02347068,42.60635,48.01608,1
264,0.3108582,-394,PedestrianHead,-19.27126,10.69679,0.1748869,0.9736648,0.02347068,42.60635,48.01608,1
265,0.3322816,-192,Pedestrian,-19.27311,10.71303,0.1448889,0.989448,0.04316839,23.1651,35.73883,1
265,0.3322816,-394,PedestrianHead,-19.26651,10.72713,0.2133945,0.9651002,0.04316839,23.1651,35.73883,1
266,0.3592808,-192,Pedestrian,-19.27061,10.72823,0.1620218,0.9867872,0.02142333,46.67807,38.80984,1
266,0.3592808,-394,PedestrianHead,-19.26739,10.74447,0.2296094,0.9604092,0.02142333,46.67807,38.80984,1
267,0.3795972,-192,Pedestrian,-19.26675,10.74874,0.1850374,0.9827315,0.02699938,37.03789,37.15539,1
267,0.3795972,-394,PedestrianHead,-19.26553,10.76674,0.2563976,0.9529984,0.02699938,37.03789,37.15539,1
268,0.3999934,-192,Pedestrian,-19.26339,10.76493,0.2031233,0.9791532,0.02031636,49.22142,45.05769,1
268,0.3999934,-394,PedestrianHead,-19.2639,10.78355,0.2769008,0.9471487,0.02031636,49.22142,45.05769,1
269,0.4236021,-192,Pedestrian,-19.25952,10.78192,0.2220402,0.9750375,0.0203961,49.02899,46.6885,1
269,0.4236021,-394,PedestrianHead,-19.26071,10.80026,0.2991122,0.9407362,0.0203961,49.02899,46.6885,1
270,0.441329,-192,Pedestrian,-19.25431,10.80256,0.2449286,0.9695411,0.02360901,42.3567,45.73133,1
270,0.441329,-394,PedestrianHead,-19.25661,10.82045,0.3256718,0.9324159,0.02360901,42.3567,45.73133,1
271,0.462503,-192,Pedestrian,-19.24995,10.81858,0.2626347,0.9648954,0.01772688,56.41151,50.71857,1
271,0.462503,-394,PedestrianHead,-19.25373,10.83542,0.3447446,0.9262671,0.01772688,56.41151,50.71857,1
272,0.480052,-192,Pedestrian,-19.24405,10.83846,0.2845244,0.9586688,0.02117359,47.22864,49.00911,1
272,0.480052,-394,PedestrianHead,-19.24965,10.85415,0.3682508,0.9180167,0.02117359,47.22864,49.00911,1
273,0.5017715,-192,Pedestrian,-19.23865,10.85543,0.3031358,0.9529474,0.01754932,56.98225,53.94202,1
273,0.5017715,-394,PedestrianHead,-19.24625,10.86914,0.3866364,0.9114587,0.01754932,56.98225,53.94202,1
274,0.5195117,-192,Pedestrian,-19.23114,10.87714,0.3268841,0.9450644,0.02171938,46.04184,49.56132,1
274,0.5195117,-394,PedestrianHead,-19.24077,10.88852,0.4102639,0.9021903,0.02171938,46.04184,49.56132,1
275,0.5385375,-192,Pedestrian,-19.22441,10.89534,0.3467041,0.9379746,0.01774031,56.36879,53.39339,1
275,0.5385375,-394,PedestrianHead,-19.23145,10.90725,0.4415171,0.8870071,0.01774031,56.36879,53.39339,1
276,0.5592413,-192,Pedestrian,-19.21648,10.91535,0.368438,0.9296523,0.01902552,52.56098,52.39949,1
276,0.5592413,-394,PedestrianHead,-19.22173,10.92751,0.4720263,0.8708991,0.01902552,52.56098,52.39949,1
277,0.5775003,-192,Pedestrian,-19.20695,10.93769,0.3926162,0.9197024,0.02070375,48.30043,51.19226,1
277,0.5775003,-394,PedestrianHead,-19.21049,10.95014,0.5039104,0.8524038,0.02070375,48.30043,51.19226,1
278,0.5976157,-192,Pedestrian,-19.1978,10.95778,0.4142931,0.9101435,0.01825943,54.76623,52.38544,1
278,0.5976157,-394,PedestrianHead,-19.19957,10.97046,0.5324731,0.8343635,0.01825943,54.76623,52.38544,1
279,0.6159225,-192,Pedestrian,-19.18678,10.98038,0.4383491,0.8988048,0.02011505,49.71401,50.94696,1
279,0.6159225,-394,PedestrianHead,-19.18701,10.99291,0.5613273,0.8148323,0.02011505,49.71401,50.94696,1
280,0.6357408,-192,Pedestrian,-19.17596,11.00129,0.4594181,0.8882201,0.01830677,54.62459,53.17975,1
280,0.6357408,-394,PedestrianHead,-19.17442,11.01343,0.586812,0.7963197,0.01830677,54.62459,53.17975,1
281,0.6535058,-192,Pedestrian,-19.16331,11.02432,0.4813805,0.8765118,0.01981834,50.45832,51.55934,1
281,0.6535058,-394,PedestrianHead,-19.16021,11.03568,0.6120309,0.776817,0.01981834,50.45832,51.55934,1
282,0.6732831,-192,Pedestrian,-19.15121,11.04526,0.500313,0.8658446,0.01776532,56.28946,54.20715,1
