unix_ms,rel_timestamp,frame,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1758754655298,0,263,Activation,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1758754655840,0,263,Eye Hit,-2.72668,0.8812609,13.8,720.0001,792,15.762,0.01604366,-0.04694295,0.9987687,15.762,NorthBuildings_NoColliders,-2.726683,0.8812599,13.8,720,792,15.762,0.0160435,-0.04694303,0.9987687,-2.97956,1.621176,-1.942591,15.762,NorthBuildings_NoColliders,1.564622E-07,8.195639E-08,1,0
1758754655964,0,264,Eye Hit,-3.072826,0.2671471,13.8,712.0641,740.2443,15.80328,-0.005665471,-0.08557403,0.9963157,15.86857,NorthBuildings_NoColliders,-2.830013,1.684541,13.8,720,792,15.81096,0.009671197,0.003760433,0.9999462,-2.982924,1.625085,-2.010108,15.81096,NorthBuildings_NoColliders,-0.01373472,-0.08957382,0.9958855,5.199309
1758754655986,0.01999998,265,Eye Hit,-3.06414,0.4063768,13.8,709.1082,746.7292,15.8091,-0.006694148,-0.07681336,0.997023,15.86077,NorthBuildings_NoColliders,-2.712112,1.636264,13.8,720,792,15.81547,0.01554513,0.0007314048,0.9998789,-2.957966,1.624696,-2.013558,15.81547,NorthBuildings_NoColliders,-0.01886676,-0.07841787,0.9967421,4.626223
1758754656035,0.07048655,266,Eye Hit,-3.061657,0.04337215,13.8,706.3301,738.5268,15.81867,-0.007740711,-0.09945674,0.9950117,15.89127,NorthBuildings_NoColliders,-2.596669,1.48765,13.8,720,792,15.81629,0.02162191,-0.00861241,0.9997291,-2.938648,1.623866,-2.012002,15.81628,NorthBuildings_NoColliders,-0.02364778,-0.09250417,0.9954314,5.478867
1758754656081,0.115804,267,Eye Hit,-3.05519,9.908376E-18,12.30377,705.7567,732.3025,14.32444,-0.008698552,-0.1127027,0.9935907,14.40568,NorthSidewalk,-2.564405,1.440835,13.8,720,792,15.81486,0.02310971,-0.01155396,0.9996662,-2.929882,1.623559,-2.009584,15.81486,NorthBuildings_NoColliders,-0.0246133,-0.1031606,0.9943601,6.088016
1758754656120,0.153841,268,Eye Hit,-3.104523,5.054362E-17,10.47372,702.8167,723.7917,12.49475,-0.01416177,-0.1289492,0.9915501,12.58776,NorthSidewalk,-2.545742,1.404382,13.8,720,792,15.81377,0.0240623,-0.013836,0.9996147,-2.926258,1.623181,-2.007676,15.81377,NorthBuildings_NoColliders,-0.02964152,-0.1176603,0.9926114,6.969253
1758754656142,0.1773107,269,Eye Hit,-3.090775,5.526656E-17,10.26102,703.0737,723.3815,12.28317,-0.01342264,-0.1311416,0.9912728,12.37547,NorthSidewalk,-2.536507,1.380117,13.8,720,792,15.81308,0.02454657,-0.01535568,0.9995807,-2.924664,1.622938,-2.006448,15.81308,NorthBuildings_NoColliders,-0.02919609,-0.1183597,0.9925415,7.002191
1758754656165,0.2011476,270,Eye Hit,-2.997181,5.4775E-17,10.28315,707.0059,725.7443,12.30971,-0.006108615,-0.130913,0.991375,12.39416,NorthSidewalk,-2.524294,1.326464,13.8,720,792,15.81186,0.02511884,-0.01872598,0.9995091,-2.92147,1.622557,-2.004105,15.81187,NorthBuildings_NoColliders,-0.02242805,-0.1143583,0.9931864,6.692254
1758754656189,0.2239861,271,Eye Hit,-2.995844,5.477924E-17,10.28296,707.0345,727.0563,12.31127,-0.006108138,-0.1309133,0.991375,12.39254,NorthSidewalk,-2.525422,1.29057,13.8,720,792,15.8111,0.0249652,-0.02098386,0.9994681,-2.920149,1.622348,-2.002689,15.8111,NorthBuildings_NoColliders,-0.02238444,-0.1121225,0.9934423,6.565248
